iterations_gen,iterations_best_fitness
12,124
1,134
0,134
27,120
395,124
0,120
0,130
1,124
93,124
320,124
176,124
0,120
431,120
155,120
45,124
2,120
420,124
108,124
1,124
209,128
125,120
271,130
258,124
8,134
81,124
0,134
115,124
322,124
104,124
91,124
111,124
0,128
0,120
241,130
455,124
0,128
59,124
0,134
1,126
1,124
327,124
0,128
85,124
295,120
20,126
65,120
108,124
156,124
37,124
249,124
485,128
28,124
313,134
0,124
0,124
483,127
0,128
1,130
0,124
402,120
358,124
412,124
0,124
358,127
0,127
214,126
187,120
277,127
0,132
1,124
91,124
41,124
139,124
14,124
5,124
416,132
141,124
30,124
464,124
1,130
36,125
332,124
0,124
0,120
1,124
370,128
430,124
292,128
0,120
10,124
39,132
1,124
4,124
0,130
192,127
486,124
62,125
308,124
458,124
349,124
