iterations_gen,iterations_best_fitness
16,120
483,124
327,124
0,124
0,124
0,131
0,124
0,124
1,126
13,120
0,148
9,137
59,126
0,124
228,126
18,124
202,124
0,134
355,120
3,131
497,125
229,124
240,124
0,124
335,132
121,124
442,120
242,124
200,124
90,124
12,124
189,124
308,130
0,124
37,124
321,124
117,124
281,124
19,124
72,124
328,124
0,124
0,124
54,124
416,124
9,124
283,120
140,138
201,126
4,124
212,130
307,131
167,124
6,124
0,134
0,126
1,134
0,124
0,130
150,125
86,130
451,126
250,130
376,120
271,128
408,120
10,130
134,120
0,128
0,130
0,124
0,124
3,131
39,125
0,134
406,128
15,120
274,124
318,127
35,124
201,134
21,120
3,134
0,127
440,124
28,132
92,142
107,120
497,120
4,124
115,124
0,124
38,140
19,124
187,124
1,124
1,126
355,120
4,130
2,134
