iterations_gen,iterations_best_fitness
186,125
2,124
0,124
1,124
4,124
292,124
328,124
2,126
5,120
3,120
6,130
6,124
2,124
2,124
19,124
0,124
4,120
3,124
72,124
11,124
2,124
0,124
4,120
124,124
0,130
3,124
241,120
43,120
245,126
3,124
342,124
5,124
3,124
278,128
3,124
0,130
91,124
0,125
1,124
2,120
2,124
31,124
63,124
7,124
202,124
23,120
99,124
339,127
7,120
106,120
2,120
2,124
0,120
25,124
9,120
42,124
0,124
0,124
0,124
4,134
4,124
402,124
4,124
0,134
2,126
46,120
5,124
317,124
1,124
1,124
124,120
6,124
140,124
6,124
235,124
396,120
13,125
96,120
1,124
2,124
1,124
2,126
417,124
2,120
1,124
66,120
3,120
78,124
17,120
0,124
6,120
228,120
0,124
1,120
12,124
255,120
424,120
3,124
2,124
0,124
