iterations_gen,iterations_best_fitness
1,124
0,124
0,124
1,132
223,124
46,124
332,124
3,120
8,120
0,124
138,124
0,120
24,120
34,124
308,120
5,120
255,120
279,125
103,124
0,124
103,124
70,124
4,124
3,124
9,120
28,124
1,124
1,124
1,124
493,120
1,124
1,127
3,124
0,124
2,124
144,124
2,124
3,125
184,124
0,130
229,124
12,120
2,120
1,124
1,124
2,128
6,124
2,124
0,120
3,124
80,125
131,124
0,120
0,125
3,120
1,124
1,124
239,124
1,124
202,120
3,125
1,124
0,124
195,125
294,120
13,120
2,126
0,140
14,120
0,124
251,124
3,124
3,124
27,127
3,124
6,130
1,124
4,124
11,120
198,124
0,124
4,120
2,124
100,124
0,124
4,124
0,124
228,132
6,120
416,127
301,120
297,124
1,124
125,120
1,124
3,124
234,124
2,130
37,125
5,124
