iterations_gen,iterations_best_fitness
3,124
1,124
40,120
4,124
2,124
2,124
5,124
3,120
8,124
0,124
2,134
1,124
1,120
43,124
3,120
4,124
4,124
2,124
445,124
88,120
0,124
10,124
3,124
1,126
15,120
0,124
8,124
160,124
3,120
2,120
1,124
45,124
0,124
8,124
3,124
10,124
3,124
1,124
4,124
19,120
0,124
135,120
77,124
7,120
0,120
5,120
12,120
43,124
1,124
2,124
0,124
7,124
2,124
2,124
0,124
18,120
1,126
2,124
9,120
1,124
152,120
9,124
434,124
4,124
6,124
15,120
18,124
2,124
111,124
52,126
0,124
3,124
493,120
16,120
0,120
1,124
1,124
3,124
2,124
3,124
5,120
6,120
3,124
317,124
43,120
0,124
10,120
8,120
135,124
3,124
0,126
0,120
44,124
61,120
164,120
39,120
4,124
11,120
1,120
20,120
