iterations_gen,iterations_best_fitness
14,120
3,120
1,124
4,120
0,124
7,120
36,120
63,120
0,124
6,124
235,124
10,124
1,124
71,120
12,120
5,120
2,124
1,124
4,120
3,120
1,120
3,124
21,120
0,124
18,120
7,124
50,124
122,120
9,124
2,124
6,124
1,124
2,125
0,124
18,124
6,120
118,124
16,125
1,124
0,124
35,120
2,124
2,130
7,124
0,124
161,124
2,120
0,124
5,120
1,124
0,124
18,124
3,124
5,124
2,124
17,120
11,120
440,124
5,124
2,124
4,124
6,124
4,124
0,130
4,120
7,120
2,124
3,120
38,127
4,120
21,120
5,120
5,120
5,124
10,120
0,124
12,120
0,120
2,124
5,124
0,124
3,125
90,124
5,124
453,120
2,124
25,124
7,120
3,124
11,120
2,120
101,120
75,120
324,120
0,124
1,124
205,120
141,124
30,120
7,120
